  -0.17889,   0.02980,  -0.04163,  -0.10633,  -0.02166,   0.24859,   0.26714,  -0.00958,   0.15056,   0.08389,   0.22991,   0.16240,   0.23508,   0.18193,  -0.25207,   0.01163,   0.13032,  -0.28473,   0.01867,   0.20901,  -0.02759,   0.12849,  -0.26858,   0.14386,  -0.04774,  -0.13279
   0.14684,  -0.19673,   0.25595,   0.17659,   0.19579,  -0.21853,   0.01431,   0.09987,   0.14440,  -0.23126,   0.09368,  -0.11993,  -0.22620,   0.19614,   0.07257,   0.20378,   0.21867,  -0.20599,   0.02216,   0.01440,  -0.28366,  -0.07894,   0.03357,  -0.09213,   0.16779,   0.06068
  -0.14362,   0.02872,   0.02114,   0.05733,  -0.10971,  -0.28022,  -0.10971,  -0.28398,   0.12556,  -0.02162,   0.20984,   0.07142,  -0.13496,  -0.27588,  -0.22568,   0.03380,  -0.12871,  -0.18626,   0.04510,   0.01144,   0.16482,   0.22354,  -0.29664,   0.11930,  -0.10239,   0.10628
  -0.10220,   0.05333,   0.19809,  -0.17882,   0.04200,   0.10813,  -0.29105,  -0.25508,  -0.23732,   0.16804,  -0.02127,   0.19295,  -0.00798,   0.16673,  -0.27087,   0.13445,   0.12545,  -0.20312,   0.06918,   0.15725,  -0.12345,   0.03598,   0.16396,   0.14156,   0.13975,  -0.10709
   0.28346,  -0.27606,  -0.18553,  -0.29627,  -0.07373,   0.00419,   0.23434,   0.10440,  -0.14047,  -0.10124,  -0.22799,  -0.09720,   0.12815,  -0.05275,  -0.12770,  -0.07915,  -0.05099,  -0.01811,   0.25046,  -0.24730,   0.08398,   0.09686,  -0.02139,  -0.26881,   0.23379,   0.21925
  -0.00312,   0.21911,   0.03610,   0.14208,   0.23124,  -0.25761,   0.24591,   0.11055,   0.15423,  -0.18337,   0.04529,   0.19391,  -0.05059,  -0.08082,  -0.29294,  -0.26709,  -0.22004,   0.23718,   0.17092,   0.18417,   0.02172,   0.11053,  -0.06589,  -0.05212,   0.02761,   0.17499
  -0.06145,  -0.23724,  -0.12590,   0.07113,  -0.13374,   0.28212,   0.04822,   0.13610,  -0.02014,   0.17400,  -0.25195,  -0.27098,  -0.25616,  -0.07245,   0.19349,  -0.20255,   0.26620,   0.02922,   0.25751,   0.10471,  -0.23230,   0.01996,  -0.04942,   0.20943,  -0.23111,   0.06086
   0.02036,   0.20209,   0.02065,   0.28015,  -0.00420,   0.02890,  -0.25599,  -0.26109,   0.06490,   0.28611,   0.06901,  -0.14575,  -0.11961,   0.15400,  -0.04876,  -0.01599,  -0.18285,   0.15648,   0.08629,  -0.13819,  -0.27500,  -0.17370,  -0.15796,  -0.08925,  -0.28965,   0.13201
  -0.16945,   0.09867,   0.28730,  -0.02544,   0.08370,   0.27905,   0.21269,  -0.20323,  -0.26606,  -0.29929,  -0.07834,   0.17070,  -0.09592,  -0.28617,   0.02506,   0.00260,   0.25903,   0.15608,   0.05441,   0.06192,  -0.02762,  -0.25324,  -0.08585,   0.25864,  -0.18855,   0.23427
   0.09798,  -0.17247,   0.18780,  -0.21873,   0.27977,  -0.26826,  -0.09667,  -0.12204,  -0.23115,   0.20908,  -0.21136,  -0.20761,  -0.00874,   0.02926,   0.06963,   0.26353,   0.14921,  -0.10241,   0.17418,   0.24426,   0.18607,  -0.14722,  -0.22434,  -0.26422,  -0.20332,   0.22871
